"Animat","Lifespan","Teacher","Reached end"
"457","0","false","false"
"458","0","false","false"
"459","0","false","false"
"460","0","false","false"
"461","0","false","false"
"462","0","false","false"
"463","0","false","false"
"464","0","false","false"
"465","0","false","false"
"466","0","false","false"
"467","0","false","false"
"468","0","false","false"
"469","0","false","false"
"470","0","false","false"
"471","0","false","false"
"472","0","false","false"
"473","0","false","false"
"474","0","false","false"
"475","0","false","false"
"476","0","false","false"
"477","0","false","false"
"478","0","false","false"
"479","0","false","false"
"480","0","false","false"
"481","0","false","false"
"482","0","false","false"
"483","0","false","false"
"484","0","false","false"
"485","0","false","false"
"486","0","false","false"
"487","0","false","false"
"488","0","false","false"
"489","0","false","false"
"490","0","false","false"
"491","0","false","false"
"492","0","false","false"
"493","0","false","false"
"494","0","false","false"
"495","0","false","false"
"496","0","false","false"
"497","0","false","false"
"498","0","false","false"
"499","0","false","false"
"500","0","false","false"
